benchmark,mode,repeat,m,n,k,tile_n,stages,elapsed_ms,gflops,bytes_b_share,checksum
bench_software_dsmem_gemm,remote,4,4096,128,4096,128,4,2.197344,1954.6176,4096,9.000000
bench_software_dsmem_gemm,remote,5,4096,128,4096,128,4,2.194560,1957.0972,4096,9.000000
bench_software_dsmem_gemm,remote,6,4096,128,4096,128,4,2.197152,1954.7885,4096,9.000000
bench_software_dsmem_gemm,remote,7,4096,128,4096,128,4,2.194912,1956.7834,4096,9.000000
bench_software_dsmem_gemm,remote,8,4096,128,4096,128,4,2.195232,1956.4982,4096,9.000000
bench_software_dsmem_gemm,remote,9,4096,128,4096,128,4,2.196768,1955.1301,4096,9.000000
bench_software_dsmem_gemm,local,0,4096,256,4096,256,1,1.622944,5292.8102,8192,9.000000
bench_software_dsmem_gemm,local,1,4096,256,4096,256,1,1.624128,5288.9518,8192,9.000000
bench_software_dsmem_gemm,local,2,4096,256,4096,256,1,1.619008,5305.6778,8192,9.000000
bench_software_dsmem_gemm,local,3,4096,256,4096,256,1,1.619968,5302.5333,8192,9.000000
bench_software_dsmem_gemm,local,4,4096,256,4096,256,1,1.620480,5300.8583,8192,9.000000
bench_software_dsmem_gemm,local,5,4096,256,4096,256,1,1.620224,5301.6957,8192,9.000000
bench_software_dsmem_gemm,local,6,4096,256,4096,256,1,1.618560,5307.1464,8192,9.000000
bench_software_dsmem_gemm,local,7,4096,256,4096,256,1,1.619200,5305.0486,8192,9.000000
bench_software_dsmem_gemm,local,8,4096,256,4096,256,1,1.620320,5301.3817,8192,9.000000
bench_software_dsmem_gemm,local,9,4096,256,4096,256,1,1.619840,5302.9524,8192,9.000000
bench_software_dsmem_gemm,remote,0,4096,256,4096,256,1,3.154592,2722.9938,8192,9.000000
bench_software_dsmem_gemm,remote,1,4096,256,4096,256,1,3.153664,2723.7950,8192,9.000000
bench_software_dsmem_gemm,remote,2,4096,256,4096,256,1,3.149120,2727.7253,8192,9.000000
bench_software_dsmem_gemm,remote,3,4096,256,4096,256,1,3.149312,2727.5591,8192,9.000000
bench_software_dsmem_gemm,remote,4,4096,256,4096,256,1,3.148992,2727.8362,8192,9.000000
bench_software_dsmem_gemm,remote,5,4096,256,4096,256,1,3.149728,2727.1988,8192,9.000000
bench_software_dsmem_gemm,remote,6,4096,256,4096,256,1,3.149376,2727.5037,8192,9.000000
bench_software_dsmem_gemm,remote,7,4096,256,4096,256,1,3.152064,2725.1776,8192,9.000000
bench_software_dsmem_gemm,remote,8,4096,256,4096,256,1,3.149472,2727.4205,8192,9.000000
bench_software_dsmem_gemm,remote,9,4096,256,4096,256,1,3.149120,2727.7253,8192,9.000000
bench_software_dsmem_gemm,local,0,4096,256,4096,256,2,1.612448,5327.2631,8192,9.000000
bench_software_dsmem_gemm,local,1,4096,256,4096,256,2,1.614240,5321.3489,8192,9.000000
bench_software_dsmem_gemm,local,2,4096,256,4096,256,2,1.611008,5332.0246,8192,9.000000
bench_software_dsmem_gemm,local,3,4096,256,4096,256,2,1.609984,5335.4160,8192,9.000000
bench_software_dsmem_gemm,local,4,4096,256,4096,256,2,1.608512,5340.2986,8192,9.000000
bench_software_dsmem_gemm,local,5,4096,256,4096,256,2,1.609888,5335.7344,8192,9.000000
bench_software_dsmem_gemm,local,6,4096,256,4096,256,2,1.609824,5335.9466,8192,9.000000
bench_software_dsmem_gemm,local,7,4096,256,4096,256,2,1.609728,5336.2647,8192,9.000000
bench_software_dsmem_gemm,local,8,4096,256,4096,256,2,1.609312,5337.6438,8192,9.000000
bench_software_dsmem_gemm,local,9,4096,256,4096,256,2,1.611456,5330.5423,8192,9.000000
bench_software_dsmem_gemm,remote,0,4096,256,4096,256,2,2.564800,3349.1635,8192,9.000000
bench_software_dsmem_gemm,remote,1,4096,256,4096,256,2,2.563680,3350.6268,8192,9.000000
bench_software_dsmem_gemm,remote,2,4096,256,4096,256,2,2.557216,3359.0963,8192,9.000000
bench_software_dsmem_gemm,remote,3,4096,256,4096,256,2,2.557376,3358.8862,8192,9.000000
bench_software_dsmem_gemm,remote,4,4096,256,4096,256,2,2.559264,3356.4082,8192,9.000000
bench_software_dsmem_gemm,remote,5,4096,256,4096,256,2,2.559680,3355.8627,8192,9.000000
bench_software_dsmem_gemm,remote,6,4096,256,4096,256,2,2.559840,3355.6530,8192,9.000000
bench_software_dsmem_gemm,remote,7,4096,256,4096,256,2,2.559872,3355.6111,8192,9.000000
bench_software_dsmem_gemm,remote,8,4096,256,4096,256,2,2.559072,3356.6600,8192,9.000000
bench_software_dsmem_gemm,remote,9,4096,256,4096,256,2,2.557376,3358.8862,8192,9.000000
bench_software_dsmem_gemm,local,0,4096,256,4096,256,4,1.614208,5321.4547,8192,9.000000
bench_software_dsmem_gemm,local,1,4096,256,4096,256,4,1.624608,5287.3889,8192,9.000000
bench_software_dsmem_gemm,local,2,4096,256,4096,256,4,1.608672,5339.7675,8192,9.000000
bench_software_dsmem_gemm,local,3,4096,256,4096,256,4,1.608768,5339.4490,8192,9.000000
bench_software_dsmem_gemm,local,4,4096,256,4096,256,4,1.609824,5335.9466,8192,9.000000
bench_software_dsmem_gemm,local,5,4096,256,4096,256,4,1.609440,5337.2196,8192,9.000000
bench_software_dsmem_gemm,local,6,4096,256,4096,256,4,1.609984,5335.4160,8192,9.000000
bench_software_dsmem_gemm,local,7,4096,256,4096,256,4,1.609408,5337.3256,8192,9.000000
bench_software_dsmem_gemm,local,8,4096,256,4096,256,4,1.608160,5341.4676,8192,9.000000
bench_software_dsmem_gemm,local,9,4096,256,4096,256,4,1.608960,5338.8117,8192,9.000000
bench_software_dsmem_gemm,remote,0,4096,256,4096,256,4,2.547168,3372.3471,8192,9.000000
bench_software_dsmem_gemm,remote,1,4096,256,4096,256,4,2.537344,3385.4041,8192,9.000000
bench_software_dsmem_gemm,remote,2,4096,256,4096,256,4,2.540288,3381.4806,8192,9.000000
bench_software_dsmem_gemm,remote,3,4096,256,4096,256,4,2.542912,3377.9913,8192,9.000000
bench_software_dsmem_gemm,remote,4,4096,256,4096,256,4,2.537440,3385.2759,8192,9.000000
bench_software_dsmem_gemm,remote,5,4096,256,4096,256,4,2.537120,3385.7028,8192,9.000000
bench_software_dsmem_gemm,remote,6,4096,256,4096,256,4,2.543776,3376.8439,8192,9.000000
bench_software_dsmem_gemm,remote,7,4096,256,4096,256,4,2.540992,3380.5437,8192,9.000000
bench_software_dsmem_gemm,remote,8,4096,256,4096,256,4,2.537056,3385.7884,8192,9.000000
bench_software_dsmem_gemm,remote,9,4096,256,4096,256,4,2.538976,3383.2280,8192,9.000000
