variant,schedule,ab_stages,m,n,k,avg_ms,tflops,iterations,repeat,returncode,log,command
ws_stage6,warp_specialized,6,8192,8192,2048,0.178149757,1542.959760251,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k2048_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,2048 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,2048,0.177893753,1545.180211382,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k2048_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,2048 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,4096,0.324315834,1695.124801742,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k4096_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,4096 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,4096,0.324496307,1694.182033498,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k4096_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,4096 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage6,sw_pipeline,6,8192,8192,4096,0.324596176,1693.660783109,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw6_m8192_n8192_k4096_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline_stage6.py --mnk 8192,8192,4096 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,4096,0.321719055,1708.807125483,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k4096_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,4096 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,4096,0.321560974,1709.647183992,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k4096_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,4096 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
sw_stage7,sw_pipeline,7,8192,8192,4096,0.321785927,1708.452011320,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/sw7_m8192_n8192_k4096_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_1_sw_pipeline.py --mnk 8192,8192,4096 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,4096,0.315343037,1743.358025994,100,0,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k4096_r0.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,4096 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,4096,0.315367680,1743.221799369,100,1,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k4096_r1.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,4096 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
ws_stage6,warp_specialized,6,8192,8192,4096,0.315145607,1744.450189646,100,2,0,experiments/blackwell_ws_sw_pipeline/results/logs_20260426_142324/ws6_m8192_n8192_k4096_r2.log,"/usr/bin/python /workspace/Roofline-Analysis/experiments/blackwell_ws_sw_pipeline/baselines/tutorial_fp16_gemm_2_warp_specialized.py --mnk 8192,8192,4096 --do_benchmark --warmup_iterations 10 --iterations 100 --skip_ref_check"
