benchmark,dtype,mode,streams,repeat,loop_iters,unroll,total_mma,cycles,cycles_per_mma,sink_lo,sink_hi
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,2,4096,2,8192,254108,31.01904297,126812160,126812160
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,3,4096,2,8192,253986,31.00415039,126812160,126812160
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,4,4096,2,8192,253986,31.00415039,126812160,126812160
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,5,4096,2,8192,253986,31.00415039,126812160,126812160
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,6,4096,2,8192,254108,31.01904297,126812160,126812160
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,7,4096,2,8192,253986,31.00415039,126812160,126812160
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,8,4096,2,8192,253986,31.00415039,126812160,126812160
bench_empty_matched_dep,f16_f16_f16_f16,empty_matched_dep,1,9,4096,2,8192,253986,31.00415039,126812160,126812160
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,0,4096,2,8192,463008,56.51953125,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,1,4096,2,8192,462887,56.50476074,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,2,4096,2,8192,462948,56.51220703,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,3,4096,2,8192,462887,56.50476074,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,4,4096,2,8192,462947,56.51208496,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,5,4096,2,8192,462887,56.50476074,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,6,4096,2,8192,463008,56.51953125,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,7,4096,2,8192,462887,56.50476074,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,8,4096,2,8192,463008,56.51953125,8070573679429316608,8070573679429316608
bench_mma_f16_dep,f16_f16_f16_f16,dep,1,9,4096,2,8192,462887,56.50476074,8070573679429316608,8070573679429316608
bench_empty_matched_f32acc,f32_f16_f16_f16,empty_matched_f32acc,1,0,4096,2,8192,397414,48.51245117,9115287258532938103,982722877291976
